Emine Ülker Tarhan,http://en.wikipedia.org/wiki/Emine_%C3%9Clker_Tarhan,Republican People's Party,Ankara,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Aylin Nazlıaka,http://en.wikipedia.org/wiki/Aylin_Nazl%C4%B1aka,Republican People's Party,Ankara,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Bülent Kuşoğlu,"",Republican People's Party,Ankara,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Levent Gök,"",Republican People's Party,Ankara,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Tuğrul Türkeş,"",Nationalist Movement Party,Ankara,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Zuhal Topçu,"",Nationalist Movement Party,Ankara,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Cemil Çiçek,http://en.wikipedia.org/wiki/Cemil_%C3%87i%C3%A7ek,Justice and Development Party,Ankara,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Haluk İpek,http://en.wikipedia.org/wiki/Haluk_%C4%B0pek,Justice and Development Party,Ankara,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Salih Kapusuz,"",Justice and Development Party,Ankara,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Nurdan Şanlı,"",Justice and Development Party,Ankara,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Ahmet İyimaya,"",Justice and Development Party,Ankara,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Cevdet Erdöl,"",Justice and Development Party,Ankara,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Zelkif Kazdal,"",Justice and Development Party,Ankara,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Emrullah İşler,http://en.wikipedia.org/wiki/Emrullah_%C4%B0%C5%9Fler,Justice and Development Party,Ankara,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Seyit Sertçelik,"",Justice and Development Party,Ankara,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Ayşe Gülsün Bilgehan,"",Republican People's Party,Ankara,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
İzzet Çetin,"",Republican People's Party,Ankara,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Sinan Aygün,"",Republican People's Party,Ankara,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Gökhan Günaydın,"",Republican People's Party,Ankara,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Mustafa Erdem,"",Nationalist Movement Party,Ankara,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Özcan Yeniçeri,"",Nationalist Movement Party,Ankara,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Vecdi Gönül,http://en.wikipedia.org/wiki/Vecdi_G%C3%B6n%C3%BCl,Justice and Development Party,Antalya,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Mevlüt Çavuşoğlu,http://en.wikipedia.org/wiki/Mevl%C3%BCt_%C3%87avu%C5%9Fo%C4%9Flu,Justice and Development Party,Antalya,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Menderes Türel,http://en.wikipedia.org/wiki/Menderes_T%C3%BCrel,Justice and Development Party,Antalya,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Sadık Badak,"",Justice and Development Party,Antalya,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Hüseyin Samani,"",Justice and Development Party,Antalya,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Gökçen Enç,"",Justice and Development Party,Antalya,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Deniz Baykal,http://en.wikipedia.org/wiki/Deniz_Baykal,Republican People's Party,Antalya,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Osman Kaptan,"",Republican People's Party,Antalya,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Gürkut Acar,"",Republican People's Party,Antalya,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Yıldıray Sapan,"",Republican People's Party,Antalya,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Arif Bulut,"",Republican People's Party,Antalya,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
